season_order_index,season_short_name,series_id,season_id,season_name,season_url
0,pre,16839,24442,相棒 pre season,https://douga.tv-asahi.co.jp/program/16839-24442
1,1,16839,23499,相棒 season1,https://douga.tv-asahi.co.jp/program/16839-23499
2,2,16839,24104,相棒 season2,https://douga.tv-asahi.co.jp/program/16839-24104
3,3,16839,24126,相棒 season3,https://douga.tv-asahi.co.jp/program/16839-24126
4,4,16839,24145,相棒 season4,https://douga.tv-asahi.co.jp/program/16839-24145
5,5,16839,24167,相棒 season5,https://douga.tv-asahi.co.jp/program/16839-24167
6,6,16839,24193,相棒 season6,https://douga.tv-asahi.co.jp/program/16839-24193
7,7,16839,24213,相棒 season7,https://douga.tv-asahi.co.jp/program/16839-24213
8,8,16839,23512,相棒 season8,https://douga.tv-asahi.co.jp/program/16839-23512
9,9,16839,24233,相棒 season9,https://douga.tv-asahi.co.jp/program/16839-24233
10,10,16839,24252,相棒 season10,https://douga.tv-asahi.co.jp/program/16839-24252
11,11,16839,23532,相棒 season11,https://douga.tv-asahi.co.jp/program/16839-23532
12,12,16839,24272,相棒 season12,https://douga.tv-asahi.co.jp/program/16839-24272
13,13,16839,24292,相棒 season13,https://douga.tv-asahi.co.jp/program/16839-24292
14,14,16839,23552,相棒 season14,https://douga.tv-asahi.co.jp/program/16839-23552
15,15,16839,25150,相棒 season15,https://douga.tv-asahi.co.jp/program/16839-25150
16,16,16839,25169,相棒 season16,https://douga.tv-asahi.co.jp/program/16839-25169
17,17,16839,25190,相棒 season17,https://douga.tv-asahi.co.jp/program/16839-25190
18,18,16839,24020,相棒 season18,https://douga.tv-asahi.co.jp/program/16839-24020
19,19,16839,24668,相棒 season19,https://douga.tv-asahi.co.jp/program/16839-24668
20,20,16839,29370,相棒 season20,https://douga.tv-asahi.co.jp/program/16839-29370
21,21,16839,35642,相棒 season21,https://douga.tv-asahi.co.jp/program/16839-35642
22,22,16839,43305,相棒 season22,https://douga.tv-asahi.co.jp/program/16839-43305
